PAH 6.2,PAH 11.2,PAH 7.7,PAH G11.0,PAH 8.6,PAH 3.3 (Flitecam data),f_evsg, PAH G7.6, PAH G7.8
4.54E-06,2.80E-06,7.43E-06,1.86E-07,1.08E-06,1.12E-06,0.3306911042,6.67E-06,3.59E-06
4.09E-06,2.54E-06,6.88E-06,1.60E-07,9.95E-07,1.02E-06,0.3242576021,6.11E-06,3.46E-06
3.66E-06,2.25E-06,6.22E-06,1.50E-07,8.94E-07,7.26E-07,0.3129224801,5.57E-06,3.10E-06
3.26E-06,1.96E-06,5.92E-06,1.51E-07,7.61E-07,5.96E-07,0.293065063,5.20E-06,2.79E-06
3.05E-06,1.72E-06,5.18E-06,1.52E-07,6.34E-07,7.74E-07,0.2704367562,4.63E-06,2.44E-06
2.72E-06,1.49E-06,4.62E-06,1.27E-07,5.59E-07,3.47E-07,0.2611000697,4.05E-06,2.09E-06
2.37E-06,1.29E-06,4.15E-06,9.97E-08,5.54E-07,3.15E-07,0.245405637,3.53E-06,1.80E-06
2.08E-06,1.13E-06,3.64E-06,9.53E-08,5.20E-07,3.85E-07,0.2649976815,3.08E-06,1.63E-06
1.80E-06,9.78E-07,3.15E-06,8.39E-08,4.58E-07,3.24E-07,0.2820497094,2.68E-06,1.48E-06
1.69E-06,8.96E-07,2.98E-06,7.44E-08,4.41E-07,1.45E-07,0.2699385386,2.49E-06,1.36E-06
1.57E-06,8.56E-07,2.89E-06,7.41E-08,4.16E-07,1.36E-07,0.2801839911,2.40E-06,1.35E-06
1.46E-06,8.37E-07,2.66E-06,8.44E-08,4.05E-07,2.70E-07,0.2926732829,2.22E-06,1.31E-06
1.38E-06,7.93E-07,2.38E-06,7.86E-08,3.90E-07,2.04E-07,0.2765255068,1.96E-06,1.16E-06
1.28E-06,7.49E-07,2.12E-06,7.83E-08,3.47E-07,9.32E-08,0.2436737967,1.81E-06,1.05E-06
1.06E-06,6.68E-07,2.16E-06,7.73E-08,3.32E-07,1.41E-07,0.1963752619,1.71E-06,1.04E-06
9.92E-07,5.61E-07,1.72E-06,5.80E-08,3.27E-07,2.13E-07,0.1579950866,1.41E-06,9.10E-07
9.70E-06,5.59E-06,1.76E-05,4.49E-07,3.29E-06,2.76E-06,0.2616347759,0,0
9.70E-06,5.66E-06,1.70E-05,4.25E-07,3.28E-06,2.68E-06,0.2657557278,1.54E-05,7.40E-06
8.86E-06,5.29E-06,1.53E-05,3.99E-07,2.99E-06,1.93E-06,0.2656101041,1.43E-05,6.81E-06
7.99E-06,4.54E-06,1.33E-05,3.91E-07,2.61E-06,1.40E-06,0.2215179668,1.29E-05,5.94E-06
7.26E-06,3.80E-06,1.22E-05,3.98E-07,2.33E-06,6.97E-07,0.1490330685,1.20E-05,5.29E-06
6.76E-06,3.39E-06,1.18E-05,3.96E-07,2.20E-06,8.65E-07,0.1183792825,1.15E-05,4.91E-06
6.58E-06,3.29E-06,1.20E-05,3.83E-07,2.18E-06,1.13E-06,0.1355428989,1.13E-05,4.79E-06
6.74E-06,3.39E-06,1.19E-05,3.68E-07,2.16E-06,1.27E-06,0.1679107439,1.12E-05,4.82E-06
6.76E-06,3.50E-06,1.17E-05,3.51E-07,2.06E-06,1.27E-06,0.2134435943,1.09E-05,4.95E-06
6.28E-06,3.49E-06,1.12E-05,3.17E-07,1.93E-06,1.47E-06,0.2542065672,1.03E-05,4.87E-06
6.46E-06,3.48E-06,1.07E-05,3.08E-07,1.89E-06,1.26E-06,0.2546980878,9.82E-06,4.62E-06
